,Date,Low,High,Close,Open,Volume
9654,2024-07-05,456.3140515175161,465.6397765538939,464.8543395996094,456.95033221316646,16000300.0
9653,2024-07-03,455.23037712106725,458.3521910129211,458.1036376953125,455.5385808076234,9932800.0
9652,2024-07-02,450.48794440717063,456.9304570935814,456.62225341796875,450.57745029839504,13979800.0
9651,2024-07-01,443.0810879907853,454.72331684606445,454.0870361328125,446.0637277902953,17662800.0
9650,2024-06-28,443.8267333016812,452.7448272217048,444.3636169433594,450.44819707911165,28362300.0
9649,2024-06-27,449.1557248487335,453.5302875755873,450.2294921875,449.56335593650766,14806300.0
9648,2024-06-26,445.59642930053803,450.9751265075422,449.54345703125,446.4017395883299,16507000.0
9647,2024-06-25,444.1647465305247,448.80773551860256,448.3404541015625,445.65606632861267,16747500.0
9646,2024-06-24,443.82674934456685,450.13005783321864,445.0794677734375,447.197116551364,15913700.0
9645,2024-06-21,443.9261796037789,447.97260457820744,447.17724609375,444.79114029939626,34486200.0
9644,2024-06-20,438.7164619327626,443.946033241849,443.120849609375,443.7173532757514,19877400.0
9643,2024-06-18,442.3155500964385,447.53516969127554,443.75714111328125,447.10763493198164,17112500.0
9642,2024-06-17,438.16966532085047,448.3305259626429,445.775390625,440.0288392462003,20790000.0
9641,2024-06-14,434.19281849694386,440.5756810111054,440.00897216796875,435.74378876375306,13582000.0
9640,2024-06-13,436.8274858579273,440.8242426789463,439.0246887207031,438.2989324414096,15960600.0
9639,2024-06-12,430.7428874309175,440.8341457768561,438.5076904296875,432.8009161252906,22366200.0
9638,2024-06-11,422.78918087724,430.3153823959729,430.1761779785156,423.01786084549974,14551100.0
9637,2024-06-10,421.4370934236562,425.6028192678221,425.39404296875,422.2424037753453,14003000.0
9636,2024-06-07,420.55222098628695,423.81323935854607,421.3973083496094,423.73371564550735,13621700.0
9635,2024-06-06,418.14618249774657,422.848821948627,422.0633850097656,421.5563568996983,14861300.0
9634,2024-06-05,413.89096003424896,421.6259378345122,421.5563659667969,415.39223173706347,16988000.0
9633,2024-06-04,407.30928563189894,414.03017705380546,413.6623229980469,410.04337212748766,14348900.0
9632,2024-06-03,406.55371826249007,414.02023955543035,411.1270751953125,413.1254536486165,17484700.0
9631,2024-05-31,402.1692127903504,414.3383733012913,412.7277526855469,414.3383733012913,47995300.0
9630,2024-05-30,411.84288150879064,421.84466424386284,412.2704162597656,421.84466424386284,28424800.0
9629,2024-05-29,423.2266200569052,428.44623936333835,426.6864929199219,423.2266200569052,15517100.0
9628,2024-05-28,424.13138989907134,428.3269711402922,427.8298645019531,427.14385491376675,15718000.0
9627,2024-05-24,421.95405016489985,428.565562226306,427.6707763671875,424.71796179341015,11845800.0
9626,2024-05-23,422.9582395726222,431.090897164325,424.5290832519531,430.46453792464195,17211700.0
9625,2024-05-22,424.6583193119375,429.9077641693655,428.0286865234375,427.60118209872775,18073700.0
9624,2024-05-21,422.3915253519068,430.46453247000767,426.5572814941406,424.36004826198655,21453300.0
9623,2024-05-20,417.5595849948594,424.30034916156967,422.8786315917969,417.77831310874586,16272100.0
9622,2024-05-17,415.61097317740536,420.4726906446292,417.7783508300781,420.09488474644235,15352200.0
9621,2024-05-16,417.9175827662757,422.9582516726133,418.5538635253906,419.35917390202644,17530100.0
9620,2024-05-15,414.85536761085484,421.35753100749633,420.6317443847656,415.48172683662517,22239500.0
9619,2024-05-14,408.43175863614476,414.3267549073316,413.40380859375,408.8981987547859,15109300.0
9618,2024-05-13,407.7073059282806,415.18025140614657,410.5853271484375,414.84283115281045,15440200.0
9617,2024-05-10,408.67986853475014,412.23276061100023,411.59759521484375,409.8112455392715,13402300.0
9616,2024-05-09,406.0003190785622,409.5928860565961,409.1959228515625,407.45918232898305,14689700.0
9615,2024-05-08,403.6284454091321,409.1066410493604,407.429443359375,405.07740513834375,11792300.0
9614,2024-05-07,405.99041958064737,411.52815821970637,406.238525390625,411.5182242956741,20018200.0
9613,2024-05-06,403.2909899464774,410.79370652504514,410.40667724609375,405.6628958084665,16996600.0
9612,2024-05-03,398.815177316325,404.06510458639696,403.5788269042969,399.2320083912343,17446700.0
9611,2024-05-02,391.6598205584853,396.89981398666424,394.8256530761719,394.64702416400013,17709400.0
