,Date,Low,High,Close,Open
1053,1966-03-08 00:00:00,1.6376960277557373,1.6294579783050436,1.650876709652776,1.6393436376458759
1052,1966-03-07 00:00:00,1.6393433809280396,1.6393433809280396,1.6591143020654762,1.6591143020654762
1051,1966-03-04 00:00:00,1.6624096632003784,1.6582906387685432,1.6689999050672575,1.6582906387685432
1050,1966-03-03 00:00:00,1.658291220664978,1.645934340257485,1.6640576596689407,1.645934340257485
1049,1966-03-02 00:00:00,1.6459341049194336,1.6418151782432207,1.6624100088483842,1.6624100088483842
1048,1966-03-01 00:00:00,1.6640578508377075,1.6541723848208856,1.701952301588983,1.6970096671926465
1047,1966-02-28 00:00:00,1.6970089673995972,1.6813568709466402,1.6970089673995972,1.6871233082351607
1046,1966-02-25 00:00:00,1.6871225833892822,1.661585233191748,1.690417801695022,1.6689992771556794
1045,1966-02-24 00:00:00,1.6689997911453247,1.6624095497282796,1.6739426201261411,1.670647400805597
1044,1966-02-23 00:00:00,1.6706496477127075,1.6648832033703338,1.6792995114505773,1.6792995114505773
1043,1966-02-21 00:00:00,1.6805338859558105,1.6706484191922808,1.6937145740485713,1.6887717420547246
1042,1966-02-18 00:00:00,1.68877112865448,1.6805332755477422,1.695361568919144,1.6941259599815655
1041,1966-02-17 00:00:00,1.694126844406128,1.6937148430624538,1.7077193387118659,1.7077193387118659
1040,1966-02-16 00:00:00,1.7077184915542603,1.6871235624162644,1.7118373196025816,1.6912427849127805
1039,1966-02-15 00:00:00,1.6912420988082886,1.6838278563257512,1.7118366251432853,1.7118366251432853
1038,1966-02-14 00:00:00,1.7118375301361084,1.7118375301361084,1.7283134360280055,1.7283134360280055
1037,1966-02-11 00:00:00,1.7291367053985596,1.7068945622192613,1.7291367053985596,1.7068945622192613
1036,1966-02-10 00:00:00,1.7036000490188599,1.6871241395174983,1.706895270363965,1.6879481420779394
1035,1966-02-09 00:00:00,1.6879483461380005,1.6838293189586602,1.6920671760931525,1.6838293189586602
1034,1966-02-08 00:00:00,1.6743552684783936,1.6541723357958007,1.6755908777348205,1.6549963382656094
1033,1966-02-07 00:00:00,1.6545017957687378,1.6388543704533007,1.656972275837315,1.6388543704533007
1032,1966-02-04 00:00:00,1.6388540267944336,1.6339126733630365,1.6405009474397316,1.6347361336856854
1031,1966-02-03 00:00:00,1.6347365379333496,1.6240305652656353,1.6347365379333496,1.6240305652656353
1030,1966-02-02 00:00:00,1.6141470670700073,1.6075585982236869,1.6223824559628122,1.620735338751232
1029,1966-02-01 00:00:00,1.6207362413406372,1.6207362413406372,1.6372072254640477,1.6339129892063244
1028,1966-01-31 00:00:00,1.6339125633239746,1.6289712102253626,1.6405008369569698,1.6372067987230494
1027,1966-01-28 00:00:00,1.6372069120407104,1.6273244023246325,1.6540895738817536,1.6540895738817536
1026,1966-01-27 00:00:00,1.6553252935409546,1.6405014260867894,1.6734433975772067,1.666854924413033
1025,1966-01-26 00:00:00,1.666854739189148,1.6643842591923321,1.6833257231040712,1.675090132564008
1024,1966-01-25 00:00:00,1.6750901937484741,1.6248539768625707,1.691561178265018,1.627324752697439
1023,1966-01-24 00:00:00,1.6273235082626343,1.6207350406282168,1.6306175449147833,1.6207350406282168
